Release Name,Release Date,Release Time,App Version
argo-cd-7.8.14,2025-03-25,00:08:57,v2.14.8
argo-rollouts-2.39.3,2025-03-23,12:51:36,v1.8.2
argo-rollouts-2.39.2,2025-03-21,07:13:50,v1.8.1
argo-cd-7.8.13,2025-03-19,18:35:57,v2.14.7
argo-cd-7.8.12,2025-03-18,16:35:25,v2.14.6
argo-cd-7.8.11,2025-03-15,08:35:05,v2.14.5
argo-rollouts-2.39.1,2025-03-13,14:56:21,v1.8.0
argo-events-2.4.14,2025-03-13,14:59:31,v1.9.5
argo-workflows-0.45.11,2025-03-11,11:52:08,v3.6.5
argo-cd-7.8.10,2025-03-11,07:25:23,v2.14.5
argo-cd-7.8.9,2025-03-08,06:30:05,v2.14.4
argo-workflows-0.45.10,2025-03-06,12:00:38,v3.6.4
argo-cd-7.8.8,2025-03-05,00:15:58,v2.14.4
argo-workflows-0.45.9,2025-03-03,06:08:58,v3.6.4
argo-cd-7.8.7,2025-03-01,03:07:42,v2.14.3
argo-cd-7.8.6,2025-02-28,21:33:58,v2.14.3
argo-workflows-0.45.8,2025-02-24,09:32:08,v3.6.4
argo-cd-7.8.5,2025-02-23,21:45:52,v2.14.2
argo-cd-7.8.4,2025-02-21,16:03:22,v2.14.2
argo-cd-7.8.3,2025-02-20,00:42:29,v2.14.2
argo-workflows-0.45.7,2025-02-15,10:11:36,v3.6.4
argo-workflows-0.45.6,2025-02-10,14:30:33,v3.6.4
argo-workflows-0.45.5,2025-02-08,05:59:05,v3.6.3
argo-cd-7.8.2,2025-02-06,10:35:47,v2.14.2
argo-cd-7.8.1,2025-02-06,10:07:58,v2.14.2
argo-cd-7.8.0,2025-02-04,11:26:11,v2.14.1
argo-cd-7.7.23,2025-02-03,09:39:31,v2.13.4
argo-rollouts-2.39.0,2025-01-31,01:54:56,v1.8.0
argo-cd-7.7.22,2025-01-29,22:47:19,v2.13.4
argo-cd-7.7.21,2025-01-28,09:58:06,v2.13.3
argo-cd-7.7.20,2025-01-28,08:14:34,v2.13.3
argo-cd-7.7.19,2025-01-28,08:00:25,v2.13.3
argo-cd-7.7.18,2025-01-27,15:32:10,v2.13.3
argocd-image-updater-0.12.0,2025-01-25,13:31:56,v0.15.2
argo-cd-7.7.17,2025-01-24,13:04:38,v2.13.3
argo-cd-7.7.16,2025-01-14,10:17:50,v2.13.3
argo-events-2.4.13,2025-01-11,10:22:47,v1.9.5
argo-workflows-0.45.4,2025-01-10,10:23:52,v3.6.2
argo-cd-7.7.15,2025-01-10,07:18:13,v2.13.3
argo-events-2.4.12,2025-01-08,08:37:01,v1.9.4
argocd-image-updater-0.11.4,2025-01-07,07:04:30,v0.15.2
argo-cd-7.7.14,2025-01-07,12:02:49,v2.13.3
argo-events-2.4.11,2025-01-04,14:02:19,v1.9.3
argo-cd-7.7.13,2025-01-04,00:07:55,v2.13.3
argo-workflows-0.45.3,2025-01-03,15:16:16,v3.6.2
argo-rollouts-2.38.2,2025-01-03,14:07:45,v1.7.2
argo-cd-7.7.12,2025-01-02,06:18:17,v2.13.2
argo-events-2.4.10,2024-12-31,12:18:02,v1.9.3
argo-rollouts-2.38.1,2024-12-30,17:19:34,v1.7.2
argo-cd-7.7.11,2024-12-21,12:06:50,v2.13.2
argo-workflows-0.45.2,2024-12-16,21:31:29,v3.6.2
argocd-image-updater-0.11.3,2024-12-13,11:27:43,v0.15.1
argo-cd-7.7.10,2024-12-12,05:33:28,v2.13.2
argo-cd-7.7.9,2024-12-11,15:36:30,v2.13.1
argo-cd-7.7.8,2024-12-09,09:17:31,v2.13.1
argo-workflows-0.45.1,2024-12-02,17:39:46,v3.6.2
argo-cd-7.7.7,2024-12-02,14:20:02,v2.13.1
argo-cd-7.7.6,2024-11-28,00:42:14,v2.13.1
argo-events-2.4.9,2024-11-27,20:44:06,v1.9.3
argo-workflows-0.45.0,2024-11-22,15:20:08,v3.6.0
argo-workflows-0.44.1,2024-11-22,11:40:45,v3.6.0
argo-workflows-0.44.0,2024-11-21,08:59:15,v3.6.0
argo-workflows-0.43.0,2024-11-21,08:27:21,v3.6.0
argo-rollouts-2.38.0,2024-11-21,13:03:08,v1.7.2
argo-cd-7.7.5,2024-11-21,12:43:12,v2.13.1
argo-cd-7.7.4,2024-11-20,20:48:11,v2.13.1
argo-cd-7.7.3,2024-11-13,10:57:32,v2.13.0
argo-cd-7.7.2,2024-11-12,16:28:52,v2.13.0
argo-cd-7.7.1,2024-11-10,01:42:21,v2.13.0
argocd-image-updater-0.11.2,2024-11-09,03:44:12,v0.15.1
argo-rollouts-2.37.8,2024-11-07,23:17:48,v1.7.2
argo-cd-7.7.0,2024-11-05,00:00:06,v2.13.0
argo-workflows-0.42.7,2024-11-01,23:24:01,v3.5.12
argocd-image-updater-0.11.1,2024-10-30,10:40:35,v0.15.0
argo-workflows-0.42.6,2024-10-30,13:24:53,v3.5.12
argo-cd-7.6.12,2024-10-18,19:27:20,v2.12.6
argo-cd-7.6.11,2024-10-18,07:16:30,v2.12.5
argo-cd-7.6.10,2024-10-16,12:00:46,v2.12.4
argo-cd-7.6.9,2024-10-15,20:16:09,v2.12.4
argo-cd-7.6.8,2024-10-03,13:53:23,v2.12.4
argo-workflows-0.42.5,2024-10-02,00:47:02,v3.5.11
argocd-apps-2.0.2,2024-10-01,06:03:45,
argo-cd-7.6.7,2024-09-30,18:24:52,v2.12.4
argo-cd-7.6.6,2024-09-30,12:25:12,v2.12.4
argo-workflows-0.42.4,2024-09-27,09:57:14,v3.5.11
argo-cd-7.6.5,2024-09-26,07:42:42,v2.12.4
argo-cd-7.6.4,2024-09-25,22:05:12,v2.12.3
argo-cd-7.6.3,2024-09-25,15:18:12,v2.12.3
argo-cd-7.6.2,2024-09-23,17:27:28,v2.12.3
argo-workflows-0.42.3,2024-09-20,15:08:40,v3.5.11
argo-events-2.4.8,2024-09-20,00:10:14,v1.9.2
argo-cd-7.6.1,2024-09-20,11:24:11,v2.12.3
argo-cd-7.6.0,2024-09-20,07:59:20,v2.12.3
argo-rollouts-2.37.7,2024-09-16,13:38:21,v1.7.2
argo-workflows-0.42.2,2024-09-13,14:02:16,v3.5.10
argocd-apps-2.0.1,2024-09-10,21:55:59,
argo-cd-7.5.2,2024-09-02,15:33:28,v2.12.3
argo-cd-7.5.1,2024-09-02,08:59:12,v2.12.3
argo-workflows-0.42.1,2024-09-01,15:06:01,v3.5.10
argo-rollouts-2.37.6,2024-08-31,10:13:12,v1.7.2
argo-cd-7.5.0,2024-08-28,15:27:35,v2.12.3
