Repository,Release Tag,Release Date,Release Time
argo-cd,v3.0.0-rc3,2025-03-24,21:36:25
argo-cd,v2.14.8,2025-03-24,21:36:01
argo-cd,v2.13.6,2025-03-24,21:35:38
argo-cd,v2.12.11,2025-03-24,21:36:05
argo-cd,v3.0.0-rc2,2025-03-19,17:57:41
argo-cd,v2.14.7,2025-03-19,17:49:46
argo-cd,v2.14.6,2025-03-18,14:17:14
argo-cd,v3.0.0-rc1,2025-03-17,20:38:40
argo-cd,v2.14.5,2025-03-11,03:57:34
argo-cd,v2.14.4,2025-03-04,21:39:08
argo-cd,v2.14.3,2025-02-28,19:39:18
argo-cd,v2.14.2,2025-02-06,00:23:26
argo-cd,v2.13.5,2025-02-05,22:13:35
argo-cd,v2.14.1,2025-02-03,22:02:42
argo-cd,v2.14.0,2025-02-03,20:22:37
argo-cd,v2.14.0-rc7,2025-01-29,21:36:23
argo-cd,v2.13.4,2025-01-29,21:30:00
argo-cd,v2.12.10,2025-01-29,21:29:19
argo-cd,v2.11.13,2025-01-29,21:29:02
argo-cd,v2.14.0-rc6,2025-01-21,21:40:31
argo-cd,v2.14.0-rc5,2025-01-08,20:16:38
argo-cd,v2.13.3,2025-01-03,19:23:42
argo-cd,v2.12.9,2025-01-03,19:21:15
argo-cd,v2.14.0-rc4,2025-01-02,22:36:35
argo-cd,v2.14.0-rc3,2024-12-18,19:22:51
argo-cd,v2.14.0-rc2,2024-12-17,18:43:53
argo-cd,v2.13.2,2024-12-11,19:18:46
argo-cd,v2.12.8,2024-12-11,19:17:57
argo-cd,v2.13.1,2024-11-20,17:11:22
argo-cd,v2.12.7,2024-11-05,16:08:15
argo-cd,v2.11.12,2024-11-05,16:09:52
argo-cd,v2.13.0,2024-11-04,12:46:49
argo-cd,v2.13.0-rc5,2024-10-18,21:56:52
argo-cd,v2.12.6,2024-10-18,19:07:18
argo-cd,v2.11.11,2024-10-18,19:10:03
argo-cd,v2.13.0-rc4,2024-10-17,22:20:25
argo-cd,v2.12.5,2024-10-17,22:03:45
argo-cd,v2.11.10,2024-10-17,22:04:22
argo-cd,v2.10.18,2024-10-17,22:02:48
argo-cd,v2.13.0-rc3,2024-10-07,14:11:10
argo-cd,v2.12.4,2024-09-26,07:14:39
argo-cd,v2.11.9,2024-09-26,07:39:46
argo-cd,v2.10.17,2024-09-26,07:39:53
argo-cd,v2.13.0-rc2,2024-09-20,12:16:17
argo-cd,v2.13.0-rc1,2024-09-16,09:07:32
argo-cd,v2.11.8,2024-09-11,07:18:22
argo-cd,v2.12.3,2024-08-27,12:33:34
argo-cd,v2.12.2,2024-08-23,04:05:09
argo-cd,v2.9.22,2024-08-22,18:09:07
argo-cd,v2.8.21,2024-08-22,00:15:46
argo-cd,v2.12.1,2024-08-16,17:16:36
argo-cd,v2.12.0,2024-08-05,14:02:15
argo-cd,v2.12.0-rc5,2024-08-02,00:02:42
argo-cd,v2.11.7,2024-07-24,10:27:18
argo-cd,v2.10.16,2024-07-24,10:27:30
argo-cd,v2.9.21,2024-07-24,10:27:35
argo-cd,v2.11.6,2024-07-22,15:19:04
argo-cd,v2.10.15,2024-07-22,15:28:11
argo-cd,v2.9.20,2024-07-22,15:26:01
argo-cd,v2.12.0-rc4,2024-07-15,18:31:03
argo-cd,v2.11.5,2024-07-15,18:32:15
argo-cd,v2.10.14,2024-07-15,18:43:13
argo-cd,v2.9.19,2024-07-15,19:10:33
argo-cd,v2.12.0-rc3,2024-07-02,19:11:39
argo-cd,v2.11.4,2024-07-02,19:52:42
argo-cd,v2.10.13,2024-07-02,19:16:33
argo-cd,v2.9.18,2024-07-02,20:06:18
argo-cd,v2.12.0-rc2,2024-06-24,21:07:03
argo-cd,v2.12.0-rc1,2024-06-18,13:46:04
argo-cd,v2.11.3,2024-06-06,09:43:29
argo-cd,v2.10.12,2024-06-06,09:44:03
argo-cd,v2.9.17,2024-06-06,09:47:39
argo-cd,v2.11.2,2024-05-23,14:14:51
argo-cd,v2.10.11,2024-05-23,14:20:08
argo-cd,v2.9.16,2024-05-23,14:28:35
argo-cd,v2.8.20,2024-05-23,14:22:46
argo-cd,v2.11.1,2024-05-21,15:03:58
argo-cd,v2.10.10,2024-05-21,15:04:04
argo-cd,v2.9.15,2024-05-21,15:03:15
argo-cd,v2.8.19,2024-05-21,15:02:42
argo-cd,v2.11.0,2024-05-07,16:37:25
argo-cd,v2.10.9,2024-04-30,16:55:10
argo-cd,v2.9.14,2024-04-30,17:52:42
argo-cd,v2.8.18,2024-04-30,18:11:05
argo-cd,v2.11.0-rc3,2024-04-29,20:34:30
argo-cd,v2.10.8,2024-04-26,14:04:02
argo-cd,v2.9.13,2024-04-26,13:54:31
argo-cd,v2.8.17,2024-04-26,13:32:45
argo-cd,v2.11.0-rc2,2024-04-15,20:21:25
argo-cd,v2.10.7,2024-04-15,09:21:23
argo-cd,v2.9.12,2024-04-15,09:23:39
argo-cd,v2.8.16,2024-04-15,09:24:55
argo-cd,v2.11.0-rc1,2024-04-05,12:48:47
argo-cd,v2.10.6,2024-04-05,01:04:01
argo-cd,v2.9.11,2024-04-05,00:33:21
argo-cd,v2.8.15,2024-04-05,00:08:33
argo-cd,v2.7.18,2024-04-04,23:10:16
argo-cd,v2.10.5,2024-03-28,16:29:02
argo-cd,v2.9.10,2024-03-28,17:14:04
argo-cd,v2.8.14,2024-03-28,17:14:13
